"jsonkey_statid"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"
"1981_897_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_898_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_899_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_900_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_901_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_902_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_903_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_904_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_906_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_907_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_908_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_909_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_910_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_911_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_912_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_913_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_914_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_915_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_916_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_917_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_918_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_919_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_924_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_925_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_926_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_927_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_928_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_929_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_930_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_931_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_963_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_932_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_933_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_934_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_935_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_936_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_937_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_939_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_940_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_941_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_942_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_943_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_944_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_945_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_946_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_947_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_949_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_950_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_951_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_953_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_954_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_955_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_956_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_957_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_958_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_959_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_964_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_965_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_966_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_967_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_968_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_969_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_970_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_971_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_972_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_973_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_974_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_975_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_976_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_977_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_978_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_979_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_980_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_981_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_982_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_983_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_984_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_985_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_986_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_989_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_990_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_991_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_992_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_993_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_994_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_995_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_996_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_997_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_998_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_999_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1000_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1001_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1002_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1003_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1004_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1005_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1006_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1007_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1008_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1009_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_1010_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
